3377.00, 0.16, 14054.00, 0.10, 8090.00, 0.08
17493.00, 0.28, 926.00, 0.09, 10437.00, 0.21
219.00, 0.08, 232.00, 0.08, 3373.00, 0.17
231.00, 0.08, 13971.00, 0.33, 4720.00, 0.08
547.00, 0.15, 6471.00, 0.08, 17025.00, 0.15
8071.00, 0.35, 10220.00, 0.34, 1648.00, 0.26
13970.00, 0.36, 8071.00, 0.10, 14003.00, 0.38
23940.00, 1.06, 24023.00, 0.71, 2577.00, 0.82
13905.00, 0.13, 2284.00, 0.22, 717.00, 0.10
6676.00, 0.88, 15034.00, 0.78, 15048.00, 0.82
240.00, 0.12, 242.00, 0.06, 5982.00, 0.18
239.00, 0.12, 272.00, 0.07, 17695.00, 0.08
1561.00, 0.27, 244.00, 0.06, 242.00, 0.20
239.00, 0.06, 271.00, 0.11, 241.00, 0.20
7.00, 0.27, 27.00, 0.07, 244.00, 0.30
243.00, 0.30, 241.00, 0.06, 1562.00, 0.20
5968.00, 0.34, 246.00, 0.37, 11269.00, 0.36
245.00, 0.37, 7915.00, 0.31, 6870.00, 0.12
3080.00, 0.88, 12203.00, 0.75, 7112.00, 0.89
5014.00, 0.82, 9666.00, 0.83, 18522.00, 0.77
250.00, 0.37, 6546.00, 0.32, 2323.00, 0.25
249.00, 0.37, 13303.00, 0.36, 3366.00, 0.36
19709.00, 0.86, 11752.00, 0.91, 11694.00, 0.83
16750.00, 0.25, 11633.00, 0.38, 3997.00, 0.22
4605.00, 0.05, 8048.00, 0.08, 13211.00, 0.16
13437.00, 0.71, 5554.00, 0.84, 14938.00, 0.83
10202.00, 0.90, 15438.00, 0.86, 9368.00, 0.84
6562.00, 0.76, 11668.00, 0.91, 24008.00, 0.99
17193.00, 0.81, 4786.00, 0.89, 1469.00, 0.72
8426.00, 0.88, 12490.00, 0.96, 13716.00, 0.82
12819.00, 0.86, 6802.00, 0.78, 10832.00, 0.63
23083.00, 0.65, 23849.00, 0.84, 23490.00, 0.87
7389.00, 0.92, 19784.00, 0.82, 7691.00, 0.85
6859.00, 0.40, 701.00, 0.57, 11940.00, 0.73
2149.00, 0.85, 4036.00, 0.83, 17097.00, 0.80
21989.00, 0.90, 21652.00, 0.86, 21616.00, 0.84
2888.00, 0.72, 12403.00, 0.86, 3874.00, 0.94
